file,name,cellId,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,brightness,coldBackgroundBrightness,hotBackgroundBrightness,isTrash,isHotBackgroundRegion,backgroundSoftMargin,zInterpolationRatio,zCoordinateSpace,initializerSchemaVersion
SPIMA_t001.tif,embryo_envelope,,243.924017,167.80689,93.4559672,177.152854994,91.3557920869,83.9073614453,-2.77267297641,-0.120892880053,-2.95102619188,0.528953239,0.116810539,0.528953239,0,1,0.05,4.4,scaled,2
SPIMA_t001.tif,0,0,204.588303,184.849285,41.87755104,18.7523404578,18.6693743398,9.63744878061,-0.0264326385462,-0.00721595665078,-1.4329014535,0.999775469,,,0,0,,4.4,scaled,2
SPIMA_t001.tif,1,1,258.467521,130.89408,44.08163264,19.8979426495,15.6963511757,13.9288643269,-1.62444053728,0.605884582995,1.43202090783,1,,,0,0,,4.4,scaled,2
SPIMA_t001.tif,2,2,336.572755,101.993926,75.9372771,19.1106562,6.22038074,4.14521777,-1.88274822,-1.22273039,-2.40775472,0.788861454,,,1,0,,4.4,scaled,2
SPIMA_t001.tif,3,3,318.083037,95.8282159,82.0830375,3.49790398,2.90274414,0.00223606798,-0.220477183,-0.760272586,0.314437744,0.878570199,,,1,0,,4.4,scaled,2
SPIMA_t001.tif,4,4,235.963739,224.94873,83.7551024,23.5595791467,21.1630599595,17.8423325555,2.99104462006,-0.0393180355351,2.25528004884,1,,,0,0,,4.4,scaled,2
SPIMA_t001.tif,5,5,330,98,86,3.92822773,2.93661142,1.54837612,3.09545059,0.56393276,-2.10580583,0.817505777,,,1,0,,4.4,scaled,2
SPIMA_t001.tif,6,6,320.807752,95.7529805,87.1212723,13.3763099,6.93811877,4.98679229,-1.45265412,-1.45948725,0.430807554,0.824038267,,,1,0,,4.4,scaled,2
SPIMA_t001.tif,7,7,346.306396,182.850874,94.7755104,23.8756073664,22.4196262724,17.5687061096,2.89513503476,0.0457678822761,1.67934388428,1,,,0,0,,4.4,scaled,2
SPIMA_t001.tif,8,8,216.051559,130.418304,112.4081632,22.4180612968,18.9010977812,18.2480097317,-0.206733964282,-0.242827365317,-1.57448945325,1,,,0,0,,4.4,scaled,2
SPIMA_t001.tif,9,9,120.158143,141.474385,119.020408,21.2466549127,20.7766383544,16.743362937,3.07080269835,0.0977919110549,-0.967090991197,1,,,0,0,,4.4,scaled,2
